일시,평균기온(°C)
2019-12-01,4.6
2019-12-02,-0.1
2019-12-03,0.5
2019-12-04,2
2019-12-05,-4.4
2019-12-06,-5.9
2019-12-07,-2.4
2019-12-08,-0.9
2019-12-09,3.2
2019-12-10,8.1
2019-12-11,6.3
2019-12-12,-0.7
2019-12-13,2.1
2019-12-14,2.7
2019-12-15,5.3
2019-12-16,7.8
2019-12-17,7.7
2019-12-18,0.8
2019-12-19,-0.8
2019-12-20,-1.1
2019-12-21,-1.2
2019-12-22,4.1
2019-12-23,3.4
2019-12-24,0.8
2019-12-25,2
2019-12-26,2
2019-12-27,-1.7
2019-12-28,1.1
2019-12-29,3.8
2019-12-30,2.7
2019-12-31,-7.9
2020-01-01,-2.2
2020-01-02,1
2020-01-03,-0.1
2020-01-04,1.2
2020-01-05,1.3
2020-01-06,3.1
2020-01-07,6.3
2020-01-08,2.4
2020-01-09,-1.2
2020-01-10,-0.6
2020-01-11,-0.1
2020-01-12,-1
2020-01-13,-2.9
2020-01-14,-2.3
2020-01-15,-2.7
2020-01-16,-1.7
2020-01-17,-0.6
2020-01-18,0.3
2020-01-19,1.9
2020-01-20,0.7
2020-01-21,-0.4
2020-01-22,3
2020-01-23,4.6
2020-01-24,2.8
2020-01-25,4.3
2020-01-26,5.5
2020-01-27,5.9
2020-01-28,6.8
2020-01-29,6
2020-01-30,5.2
2020-01-31,3.9
2020-02-01,2.6
2020-02-02,1.5
2020-02-03,-0.4
2020-02-04,-1.6
2020-02-05,-8.3
2020-02-06,-6.4
2020-02-07,-1.7
2020-02-08,-0.1
2020-02-09,-0.5
2020-02-10,4
2020-02-11,6.8
2020-02-12,7.4
2020-02-13,6.5
2020-02-14,8.1
2020-02-15,9.8
2020-02-16,-1.4
2020-02-17,-5.9
2020-02-18,-4.1
2020-02-19,1
2020-02-20,4.6
2020-02-21,6.7
2020-02-22,4
2020-02-23,2.5
2020-02-24,7
2020-02-25,6.7
2020-02-26,6.4
2020-02-27,6.1
2020-02-28,4.5
2020-02-29,7.7
2020-12-01,1.1
2020-12-02,2.4
2020-12-03,0.7
2020-12-04,-0.6
2020-12-05,2.1
2020-12-06,4.5
2020-12-07,3.4
2020-12-08,-0.5
2020-12-09,1.5
2020-12-10,5.8
2020-12-11,5.3
2020-12-12,2.3
2020-12-13,-1.1
2020-12-14,-7.7
2020-12-15,-8.3
2020-12-16,-8.3
2020-12-17,-4.9
2020-12-18,-2.1
2020-12-19,-5.1
2020-12-20,-3.7
2020-12-21,-1
2020-12-22,2
2020-12-23,4.5
2020-12-24,2.6
2020-12-25,-0.8
2020-12-26,2.2
2020-12-27,5.8
2020-12-28,6.7
2020-12-29,0.1
2020-12-30,-10.9
2020-12-31,-8.9
2021-01-01,-4.2
2021-01-02,-5
2021-01-03,-5.6
2021-01-04,-3.5
2021-01-05,-5.5
2021-01-06,-7.4
2021-01-07,-14.5
2021-01-08,-14.9
2021-01-09,-12.2
2021-01-10,-7.7
2021-01-11,-6.7
2021-01-12,-3.9
2021-01-13,2
2021-01-14,1.7
2021-01-15,4.5
2021-01-16,-4.9
2021-01-17,-5.5
2021-01-18,-3.8
2021-01-19,-6.3
2021-01-20,-0.1
2021-01-21,4.5
2021-01-22,5.5
2021-01-23,7.6
2021-01-24,7.3
2021-01-25,7.9
2021-01-26,5.3
2021-01-27,1.7
2021-01-28,-2.6
2021-01-29,-8.8
2021-01-30,-1.6
2021-01-31,3.2
2021-02-01,5
2021-02-02,-5.6
2021-02-03,-3.2
2021-02-04,-3.6
2021-02-05,1.4
2021-02-06,6.8
2021-02-07,3.6
2021-02-08,-3.1
2021-02-09,-0.9
2021-02-10,3.4
2021-02-11,5.5
2021-02-12,6.5
2021-02-13,7.6
2021-02-14,9.5
2021-02-15,1.2
2021-02-16,-5.1
2021-02-17,-8.3
2021-02-18,-5.8
2021-02-19,1.6
2021-02-20,8.8
2021-02-21,10.8
2021-02-22,7.8
2021-02-23,0
2021-02-24,2.9
2021-02-25,4.2
2021-02-26,8.2
2021-02-27,9.5
2021-02-28,7.8
2021-12-01,-1.3
2021-12-02,1.3
2021-12-03,1.9
2021-12-04,1.4
2021-12-05,2.9
2021-12-06,5.4
2021-12-07,6.8
2021-12-08,6.7
2021-12-09,6.5
2021-12-10,7
2021-12-11,6
2021-12-12,1.2
2021-12-13,-2.2
2021-12-14,3.7
2021-12-15,7.2
2021-12-16,6.4
2021-12-17,-5.6
2021-12-18,-5.7
2021-12-19,-0.8
2021-12-20,5.2
2021-12-21,5.2
2021-12-22,2.2
2021-12-23,2.7
2021-12-24,-0.3
2021-12-25,-11.7
2021-12-26,-12.1
2021-12-27,-7.6
2021-12-28,-4.1
2021-12-29,0.4
2021-12-30,-3.9
2021-12-31,-6.7
2022-01-01,-4.3
2022-01-02,-1.3
2022-01-03,-1.9
2022-01-04,-2.5
2022-01-05,-2.8
2022-01-06,-2.2
2022-01-07,-1.6
2022-01-08,0.3
2022-01-09,1.3
2022-01-10,0.5
2022-01-11,-7.4
2022-01-12,-7.7
2022-01-13,-6.4
2022-01-14,-4.8
2022-01-15,-1
2022-01-16,-2
2022-01-17,-5.8
2022-01-18,-5.6
2022-01-19,-5.3
2022-01-20,-5
2022-01-21,-2.7
2022-01-22,0.3
2022-01-23,2
2022-01-24,4.6
2022-01-25,2.8
2022-01-26,1.3
2022-01-27,-1.1
2022-01-28,-2.7
2022-01-29,-3.6
2022-01-30,-2.8
2022-01-31,-0.7
2022-02-01,-1.3
2022-02-02,-3.4
2022-02-03,-3.4
2022-02-04,-5.2
2022-02-05,-6.6
2022-02-06,-3.9
2022-02-07,-2.5
2022-02-08,-0.1
2022-02-09,1
2022-02-10,1.4
2022-02-11,2.9
2022-02-12,4.8
2022-02-13,4.8
2022-02-14,2.5
2022-02-15,-4.7
2022-02-16,-7.3
2022-02-17,-6.2
2022-02-18,-1.2
2022-02-19,-1.7
2022-02-20,-4.8
2022-02-21,-3
2022-02-22,-4.5
2022-02-23,-5.6
2022-02-24,-2.4
2022-02-25,3
2022-02-26,5.4
2022-02-27,3.7
2022-02-28,6.8
